"id","Antenna...Dish","Type","Applicant","Location","SBL.","Issued","Year","Valuation","Fee.Amount","Location2","lon","lat","Tract"
1001,"17212","Sign","Wayne St Properties LLC","734-38 Salina St N","008.-06-11.0","10/17/2014",2014,500,80,NA,NA,NA,NA
1002,"23785","Sign","Roselinda Abbey","740-42 Salina St N To Gebhardt A","008.-06-12.0","05/13/2016",2016,200,80,NA,NA,NA,NA
1003,"PC-0062-13","Liability Waiver","Feher Rubbish Removal","748-52 Salina St N","008.-06-14.0","03/05/2013",2013,0,0,NA,NA,NA,NA
1004,"13283","Sign","Holiday of North Salina LLC","758 Salina St N & Catawba St","008.-06-16.0","11/13/2013",2013,1975,95,NA,NA,NA,NA
1005,"12324","Sign","Dung Lam","723-25 Salina St N To Lock Aly","008.-07-08.0","08/20/2013",2013,1000,80,NA,NA,NA,NA
1006,"18666","Sign","Absolute Sign & Awning","717 Salina St N To Lock Aly","008.-07-10.0","03/25/2015",2015,486,80,NA,NA,NA,NA
1007,"23041","Sign","Cosimo Zavaglia","717 Salina St N To Lock Aly","008.-07-10.0","04/12/2016",2016,2000,95,NA,NA,NA,NA
1008,"PC-0071-16","Sidewalk Cafe","F & M of CNY, Inc.","717 Salina St N To Lock Aly","008.-07-10.0","05/13/2016",2016,0,50,NA,NA,NA,NA
1009,"06017","Site Work","Java Realty LLC","649 Salina St N & Division St","008.-10-01.1","04/18/2012",2012,161000,5242,NA,NA,NA,NA
1010,"PC-0227-12","Road Cut","National Grid","649 Salina St N & Division St","008.-10-01.1","07/19/2012",2012,0,0,NA,NA,NA,NA
1011,"13640","Sign","Little Italy Creations LLC","626 Salina St N","008.-11-19.0","01/07/2014",2014,500,80,NA,NA,NA,NA
1012,"20337","Sign","Little Italy Creations LLC","626 Salina St N","008.-11-19.0","12/02/2015",2015,500,80,NA,NA,NA,NA
1013,"PC-0101-13","Sidewalk Cafe","Frankie's Piccolo Bistro","656 Salina St N","008.-11-23.0","03/31/2013",2013,0,0,NA,NA,NA,NA
1014,"PC-0126-15","Sidewalk Cafe","Frankie's Piccolo Bistro","656 Salina St N","008.-11-23.0","04/15/2015",2015,0,50,NA,NA,NA,NA
1015,"PC-0164-14","Sidewalk Cafe","Frankie's Piccolo Bistro","656 Salina St N","008.-11-23.0","05/06/2014",2014,0,0,NA,NA,NA,NA
1016,"PC-0174-16","Sidewalk Cafe","Frankie's Piccolo Bistro","656 Salina St N","008.-11-23.0","04/01/2016",2016,0,50,NA,NA,NA,NA
1017,"pc-0178-12","Sidewalk Cafe","Frankie's Piccolo Bistro","656 Salina St N","008.-11-23.0","04/25/2012",2012,0,0,NA,NA,NA,NA
1018,"PC-0474-16","Sidewalk Cafe","Bit Of Chongqing","656 Salina St N","008.-11-23.0","08/09/2016",2016,0,50,NA,NA,NA,NA
1019,"pc-0177-12","Sidewalk Cafe","Venue 658","658-60 Salina St N & Division St","008.-11-24.0","04/25/2012",2012,0,0,NA,NA,NA,NA
1020,"PC-0321-16","Sidewalk Cafe","Transition 658","658-60 Salina St N & Division St","008.-11-24.0","06/02/2016",2016,0,150,NA,NA,NA,NA
1021,"PC-0325-15","Sidewalk Cafe","Transition 658","658-60 Salina St N & Division St","008.-11-24.0","06/09/2015",2015,0,150,NA,NA,NA,NA
1022,"11652","Sign","Francis Demichele","422 Division St E & Mc Bride","008.-12-06.0","06/25/2013",2013,160,80,NA,NA,NA,NA
1023,"12760","Sign","Francis Demichele","422 Division St E & Mc Bride","008.-12-06.0","09/30/2013",2013,241,80,NA,NA,NA,NA
1024,"PC-0531-16","Road Cut","National Grid","1509 Lodi St","008.-13-07.0","08/27/2016",2016,0,0,NA,NA,NA,NA
1025,"25026","Site Work","Rich & Gardner Construction Co.","414 Ash St & Lodi St","008.-14-04.1","10/18/2016",2016,180000,2900.25,NA,NA,NA,NA
1026,"PC-0255-12","Liability Waiver","Ritter & Paratore","900 McBride St N & Butternut","008.-14-16.1","07/13/2012",2012,0,0,NA,NA,NA,NA
1027,"16607","Site Work","Housing Visions Construction","900 McBride St N & Butternut","008.-14-16.2","11/14/2014",2014,496667,8013,NA,NA,NA,NA
1028,"PC-0102-16","Road Cut","National Grid","900 McBride St N Condo #1","008.-14-16.2/1","05/04/2016",2016,0,0,NA,NA,NA,NA
1029,"PC-0022-15","Liability Waiver","Syracuse Haulers","908 Mcbride St N","008.-14-18.0","03/10/2015",2015,0,50,NA,NA,NA,NA
1030,"14107","Sign","Louis Geswaldo","808 Townsend St N To Townsend","008.-16-12.0","02/25/2014",2014,100,80,NA,NA,NA,NA
1031,"PC-0684-16","Sidewalk Replace","Michael McConnell Concrete","810 Townsend St N To Townsend","008.-16-13.0","08/19/2016",2016,0,25,NA,NA,NA,NA
1032,"16848","Site Work","Housing Visions Construction","823 Townsend St N & Ash","008.-17-03.1","10/31/2014",2014,68000,1121.25,NA,NA,NA,NA
1033,"PC-0762-15","Liability Waiver","Peter Belden Trieb","823 Townsend St N & Ash","008.-17-03.1","12/21/2015",2015,0,50,NA,NA,NA,NA
1034,"12579","Site Work","SJ Thomas Co., Inc","500 Salina St N & Butternut S","008.-18-01.0","11/05/2013",2013,20000,390,NA,NA,NA,NA
1035,"PC-0007-16","Loading Zone (Business)","GG marketing Solutions LLC","500 Salina St N & Butternut S","008.-18-01.0","01/08/2016",2016,0,25,NA,NA,NA,NA
1036,"PC-0191-15","Encroach (Major)","St Joseph Health Center Props","500 Salina St N & Butternut S","008.-18-01.0","08/03/2015",2015,0,0,NA,NA,NA,NA
1037,"PC-0192-15","Encroach (Major)","St Joseph Health Center Props","500 Salina St N & Butternut S","008.-18-01.0","08/03/2015",2015,0,0,NA,NA,NA,NA
1038,"14275","Sign","Islamic Circle of Nrth Americ","522-24 Salina St N To Prospect A","008.-18-02.0","03/07/2014",2014,700,80,NA,NA,NA,NA
1039,"PC-0131-13","Sidewalk Cafe","Francesca's","541-45 Salina St N","008.-19-09.0","04/16/2013",2013,0,0,NA,NA,NA,NA
1040,"PC-0173-15","Sidewalk Cafe","Alimentos Restaurant Inc.","541-45 Salina St N","008.-19-09.0","04/27/2015",2015,0,50,NA,NA,NA,NA
1041,"PC-0289-14","Sidewalk Cafe","Alimentos Restaurant Inc.","541-45 Salina St N","008.-19-09.0","06/12/2014",2014,0,0,NA,NA,NA,NA
1042,"PC-0131-16","Sidewalk Cafe","Alimentos Restaurant Inc.","541-45 Salina St N","008.-19-09.1","04/01/2016",2016,0,50,NA,NA,NA,NA
1043,"PC-0371-12","Liability Waiver","Mark DiRienz","539 Salina St N","008.-19-10.0","06/29/2012",2012,0,0,NA,NA,NA,NA
1044,"PC-0523-12","Liability Waiver","Mark DiRienz, Executor / The Estate of 
Anthony DiRienz","539 Salina St N","008.-19-10.0","09/14/2012",2012,0,0,NA,NA,NA,NA
1045,"09571","Sign","Catholic Charities","529-35 Salina St N","008.-19-11.0","12/19/2012",2012,600,80,NA,NA,NA,NA
1046,"20176","Sign","George Angeloro","507-13 Salina St N To State St N","008.-19-15.0","08/05/2015",2015,2500,110,NA,NA,NA,NA
1047,"PC-0411-13","Liability Waiver","George Angeloro","507-13 Salina St N To State St N","008.-19-15.0","08/05/2013",2013,0,0,NA,NA,NA,NA
1048,"20645","Sign","Morrison Vincent","117 Butternut St & Salt St","008.-20-01.0","09/14/2015",2015,35000,590,NA,NA,NA,NA
1049,"PC-0432-12","Curb Cut","New York State","801 State St N & Butternut St","008.-20-02.0","10/31/2012",2012,0,0,NA,NA,NA,NA
1050,"PC-0484-12","Sidewalk Replace","Jason Premo","121-23 Lilac St","009.-01-15.0","09/06/2012",2012,0,0,NA,NA,NA,NA
1051,"PC-0433-14","Road Cut","National Grid","1900 Lodi St","009.-01-31.0","09/22/2014",2014,0,0,NA,NA,NA,NA
1052,"PC-0503-16","Sidewalk Replace","CNY Sealing & Plowing","300 Pond St","009.-02-04.0","08/04/2016",2016,0,25,NA,NA,NA,NA
1053,"06059","Site Work","Pompei Housing Dev Fund","131-49 Mary St","009.-02-25.0","04/23/2012",2012,37000,620,NA,NA,NA,NA
1054,"PC-0502-16","Sidewalk Replace","CNY Sealing & Plowing","131-49 Mary St","009.-02-25.0","08/04/2016",2016,0,25,NA,NA,NA,NA
1055,"PC-0664-15","Public Assembly","Mark Sweeting","112 Strand Pl","009.-05-34.0","09/25/2015",2015,0,0,NA,NA,NA,NA
1056,"PC-0088-14","Sidewalk Replace","M. A. Calcagnino Concrete Flooring","400 Spring St & Curtis St","009.-08-12.0","04/22/2014",2014,0,0,NA,NA,NA,NA
1057,"SD-11-58","Encroachment (Converted)","DELANEY COLEEN A","400 Spring St & Curtis St","009.-08-12.0","01/25/2012",2012,0,0,NA,NA,NA,NA
1058,"07335","Sign","Hue Nguyen","1001-09 Park St & Division St E","009.-16-30.0","07/10/2012",2012,100,80,NA,NA,NA,NA
1059,"14985","Sign","Hue Nguyen","1001-09 Park St & Division St E","009.-16-30.0","04/28/2014",2014,300,80,NA,NA,NA,NA
1060,"21133","Sign","Hue Nguyen","1001-09 Park St & Division St E","009.-16-30.0","10/09/2015",2015,480,80,NA,NA,NA,NA
1061,"10367","Sign","Tatyana Mahmoud","1700 Lodi St & Division St E","009.-16-58.0","03/11/2013",2013,6000,155,NA,NA,NA,NA
1062,"PC-0507-13","Sidewalk Replace","R Harris Masonry & Concrete","309 John St","009.-19-06.0","09/27/2013",2013,0,0,NA,NA,NA,NA
1063,"PC-0498-13","Sidewalk Replace","Gary Parker","307 John St","009.-19-07.0","09/18/2013",2013,0,0,NA,NA,NA,NA
1064,"20437","Site Work","Mohammad Qasem","1125 Butternut St & Grassman A","009.-21-26.0","09/15/2015",2015,7000,195,NA,NA,NA,NA
1065,"PC-0197-13","Sidewalk Cafe","DTS Restaurant Corp","901 Butternut St & Park St","009.-24-17.0","05/10/2013",2013,0,0,NA,NA,NA,NA
1066,"PC-0235-14","Sidewalk Cafe","DTS Restaurant Corp","901 Butternut St & Park St","009.-24-17.0","06/02/2014",2014,0,0,NA,NA,NA,NA
1067,"07702","Site Work","City Of Syracuse-White","781 Butternut St & Peter St &","009.-26-17.0","08/21/2012",2012,0,0,NA,NA,NA,NA
1068,"PC-0213-12","Road Cut","Davis Wallbridge","781 Butternut St & Peter St &","009.-26-17.0","07/19/2012",2012,0,0,NA,NA,NA,NA
1069,"11490","Sign","Kassis Superior Signs","733-39 Butternut St & Peter St","009.-27-19.0","07/10/2013",2013,975,80,NA,NA,NA,NA
1070,"14778","Sign","New Cholon LLC","733-39 Butternut St & Peter St","009.-27-19.0","04/08/2014",2014,200,80,NA,NA,NA,NA
1071,"11022","Sign","Lodi & Butternut Assoc LLC","601-23 Butternut St & Lodi St &","009.-28-13.0","05/10/2013",2013,8000,185,NA,NA,NA,NA
1072,"PC-0888-16","Liability Waiver","CNY Builders Services, LLC.","1849-51 Grant Blvd","010.-05-04.0","10/26/2016",2016,0,50,NA,NA,NA,NA
1073,"PC-0323-13","Sidewalk Replace","Sang Nguyen","1801 Grant Blvd","010.-05-10.0","06/27/2013",2013,0,0,NA,NA,NA,NA
1074,"PC-0210-13","Sidewalk Replace","William Rood dba Superior Concrete","1711 Grant Blvd","010.-05-15.0","05/16/2013",2013,0,0,NA,NA,NA,NA
1075,"24972","Site Work","LAN-CO Companies","1701-05 Grant Blvd & Wadsworth St","010.-05-17.0","10/26/2016",2016,25000,465,NA,NA,NA,NA
1076,"PC-0605-16","Sidewalk Replace","George Lostumbo Concrete Co","127 Wadsworth St","010.-13-13.0","08/02/2016",2016,0,25,NA,NA,NA,NA
1077,"PC-0306-13","Sidewalk Replace","N-Joy Inc","117 Sweeting St","010.-14-24.0","06/21/2013",2013,0,0,NA,NA,NA,NA
1078,"PC-0323-12","Sidewalk Replace","C&D LaFace","1207 Highland St","010.-16-08.0","06/20/2012",2012,0,0,NA,NA,NA,NA
1079,"PC-0347-16","Road Cut","National Grid","224 Cleveland Ave","010.-19-09.0","06/25/2016",2016,0,0,NA,NA,NA,NA
1080,"SD-11-60","Encroachment (Converted)","BENNETT LYLE R & NORMA","242 Cleveland Ave","010.-19-18.0","02/07/2012",2012,0,0,NA,NA,NA,NA
1081,"PC-0354-14","Curb Cut","Thang Huynh","416 Griffiths St & Pond St","010.-23-17.0","08/21/2014",2014,0,0,NA,NA,NA,NA
1082,"PC-0453-13","Sidewalk Replace","Alice Lazore","108 Craig St","010.-25-02.0","08/27/2013",2013,0,0,NA,NA,NA,NA
1083,"PC-0468-13","Sidewalk Replace","Michael McConnell Concrete","317-19 Griffiths St & Craig St","010.-25-04.0","09/12/2013",2013,0,0,NA,NA,NA,NA
1084,"21711","Sign","Your Name In Lights Sign Co","1200 Butternut St & Knaul St","010.-28-27.0","12/02/2015",2015,1000,80,NA,NA,NA,NA
1085,"PC-0716-15","Encroach (Major)","Salvatore & Marie Cicali","304 Hier Ave","010.-30-05.0","09/22/2016",2016,0,0,NA,NA,NA,NA
1086,"24429","Sign","Deuson Inc/DBA Fastsigns","1828 Butternut St & Briggs St","011.-01-40.0","10/14/2016",2016,833.46,80,NA,NA,NA,NA
1087,"PC-0331-12","Sidewalk Replace","DPS Land Improvements LLC","216 Briggs St","011.-03-01.0","06/20/2012",2012,0,0,NA,NA,NA,NA
1088,"21730","Sign","Carlotta Brown C/O Citrine Properties LLC","1614-16 Grant Blvd & Wadsworth St","011.-08-20.0","12/01/2015",2015,800,80,NA,NA,NA,NA
1089,"08731","Sign","Nathan Benderson","1710-18 Grant Blvd & Worden Ave","011.-09-16.0","10/09/2012",2012,7500,185,NA,NA,NA,NA
1090,"05627","Sign","Robert  Fortino","1824-38 Grant Blvd","011.-10-37.0","03/21/2012",2012,300,80,NA,NA,NA,NA
1091,"13601","Sign","RJB Properties LLC","1824-38 Grant Blvd","011.-10-37.0","12/17/2013",2013,300,80,NA,NA,NA,NA
1092,"15930","Sign","RJB Properties LLC","1824-38 Grant Blvd","011.-10-37.0","07/10/2014",2014,200,80,NA,NA,NA,NA
1093,"20013","Sign","93-1 Business Trust","1900 Grant Blvd & Butternut St","011.-11-20.1","08/05/2015",2015,27852,485,NA,NA,NA,NA
1094,"PC-0621-15","Sidewalk Replace","CNY Sealing & Plowing","1612 Butternut St","011.-11-34.0","09/22/2015",2015,0,25,NA,NA,NA,NA
1095,"PC-0602-12","Sidewalk Replace","John Ligoci","504 Darlington Rd","012.-01-27.0","11/13/2012",2012,0,0,NA,NA,NA,NA
1096,"15526","Sign","Harry Enea","1154 Grant Blvd & Pleasantview","012.-05-04.0","06/23/2014",2014,2500,110,NA,NA,NA,NA
1097,"PC-0553-16","Sidewalk Replace","Easton Masonry","116-18 Pleasantview Ave","012.-05-06.0","07/29/2016",2016,0,25,NA,NA,NA,NA
1098,"PC-0677-16","Sidewalk Replace","William Rood dba Superior Concrete","1200 Grant Blvd & Pleasantview","012.-09-39.0","08/15/2016",2016,0,25,NA,NA,NA,NA
1099,"PC-0375-15","Sidewalk Replace","George Lostumbo Concrete Co","1313 Grant Blvd","013.-02-03.0","07/02/2015",2015,0,25,NA,NA,NA,NA
1100,"PC-0373-15","Sidewalk Replace","Tina Deyo","1307 Grant Blvd","013.-02-05.0","07/02/2015",2015,0,25,NA,NA,NA,NA
1101,"PC-0597-14","Sidewalk Replace","Michael McConnell Concrete","1137 Grant Blvd","013.-03-06.0","10/23/2014",2014,0,10,NA,NA,NA,NA
1102,"PC-0170-13","Sidewalk Replace","Pioneer Masonry - Jonathan Burgen","1101 Grant Blvd & Woodlawn Ter","013.-03-10.0","05/07/2013",2013,0,25,NA,NA,NA,NA
1103,"PC-0264-12","Sidewalk Replace","Time Cap Development Corp","213 Woodlawn Terr","013.-03-13.0","05/24/2012",2012,0,0,NA,NA,NA,NA
1104,"PC-0191-12","Sidewalk Replace","Diamond Paving LLC","201 Woodlawn Terr & Mertens A","013.-03-15.0","05/21/2012",2012,0,0,NA,NA,NA,NA
1105,"PC-0450-12","Sidewalk Replace","Diamond Paving LLC","629 Mertens Ave","013.-03-17.0","08/24/2012",2012,0,0,NA,NA,NA,NA
1106,"PC-0491-14","Sidewalk Replace","M. A. Calcagnino Concrete Flooring","609 Sedgwick Dr","013.-03-30.0","09/08/2014",2014,0,0,NA,NA,NA,NA
1107,"PC-0313-12","Sidewalk Replace","M. A. Calgnino Concrete Flooring","605 Sedgwick Dr","013.-03-31.0","06/20/2012",2012,0,0,NA,NA,NA,NA
1108,"PC-0429-15","Sidewalk Replace","Time Cap Development Corp","214 Woodlawn Terr","013.-04-13.0","07/22/2015",2015,0,25,NA,NA,NA,NA
1109,"PC-0598-12","Sidewalk Replace","Pasquale Cerullo Masonry","529 Durston Ave & Grant Blvd","013.-06-03.0","11/05/2012",2012,0,0,NA,NA,NA,NA
1110,"PC-0510-16","Sidewalk Replace","Michael McConnell Concrete","721 Grant Blvd & Durston Ave","013.-07-01.0","07/08/2016",2016,0,25,NA,NA,NA,NA
1111,"PC-0513-16","Sidewalk Replace","Michael McConnell Concrete","415 Wheaton Rd & Grant Blvd","013.-07-03.0","07/08/2016",2016,0,25,NA,NA,NA,NA
1112,"SD-13-13","Encroachment (Converted)","SARACENI MICHELLE &","1001 Mertens Ave & Durston Ave","013.-07-08.0","07/22/2013",2013,0,0,NA,NA,NA,NA
1113,"07235","Site Work","Rugby Square LLC","110-14 Fordham Rd","013.-09-13.0","08/02/2012",2012,270000,2191.5,NA,NA,NA,NA
1114,"PC-0438-12","Curb Cut","Rugby Square LLC","110-14 Fordham Rd","013.-09-13.0","09/27/2012",2012,0,0,NA,NA,NA,NA
1115,"PC-0439-12","Road Cut","Ruston Paving Co Inc","110-14 Fordham Rd","013.-09-13.0","09/27/2012",2012,0,0,NA,NA,NA,NA
1116,"PC-0400-16","Sidewalk Replace","Morris Construction","1623 Teall Ave","013.-10-03.0","07/14/2016",2016,0,25,NA,NA,NA,NA
1117,"PC-0253-13","Sidewalk Replace","AJ GIANNI CONSTRUCTION","437 Brattle Rd","013.-16-15.0","06/03/2013",2013,0,0,NA,NA,NA,NA
1118,"PC-0236-16","Sidewalk Replace","George Lostumbo Concrete Co","444 Wendell Terr","013.-16-40.0","04/13/2016",2016,0,25,NA,NA,NA,NA
1119,"PC-0556-12","Sidewalk Replace","M. A. Calgnino Concrete Flooring","100 Woodlawn Terr","013.-17-09.0","10/09/2012",2012,0,0,NA,NA,NA,NA
1120,"Pc-0190-12","Sidewalk Replace","Diamond Paving LLC","634 Mertens Ave","013.-18-04.0","05/21/2012",2012,0,0,NA,NA,NA,NA
1121,"PC-0515-15","Sidewalk Replace","Scott Wright","645-47 Dewitt St","013.-23-02.0","08/25/2015",2015,0,25,NA,NA,NA,NA
1122,"PC-0534-15","Sidewalk Replace","George Lostumbo Concrete Co","514 Helen St","013.-24-12.0","09/03/2015",2015,0,25,NA,NA,NA,NA
1123,"PC-0357-13","Sidewalk Replace","DPS Land Improvements LLC","519 Sedgwick Dr","013.-25-02.0","07/24/2013",2013,0,0,NA,NA,NA,NA
1124,"PC-0305-14","Sidewalk Replace","George Lostumbo Concrete Co","507 Sedgwick Dr","013.-25-08.0","06/23/2014",2014,0,0,NA,NA,NA,NA
1125,"PC-0405-14","Sidewalk Replace","George Lostumbo Concrete Co","505 Sedgwick Dr","013.-25-09.0","09/08/2014",2014,0,0,NA,NA,NA,NA
1126,"PC-0251-14","Sidewalk Replace","George Lostumbo Concrete Co","503 Sedgwick Dr","013.-25-10.0","06/12/2014",2014,0,0,NA,NA,NA,NA
1127,"PC-0467-15","Sidewalk Replace","Lory Simonds","720 Dewitt St","013.-25-25.0","08/04/2015",2015,0,25,NA,NA,NA,NA
1128,"PC-0581-14","Sidewalk Replace","M. A. Calcagnino Concrete Flooring","618 Scoville Ave","013.-26-02.0","10/10/2014",2014,0,0,NA,NA,NA,NA
1129,"PC-0209-14","Sidewalk Replace","Michael McConnell Concrete","313 Wendell Terr","013.-26-14.0","05/29/2014",2014,0,0,NA,NA,NA,NA
1130,"PC-0356-16","Sidewalk Replace","George Lostumbo Concrete Co","119 Sedgwick Rd","013.-26-43.0","06/02/2016",2016,0,25,NA,NA,NA,NA
1131,"PC-0265-12","Sidewalk Replace","Michael McConnell Concrete","512 Sedgwick Dr","013.-26-47.0","05/24/2012",2012,0,0,NA,NA,NA,NA
1132,"PC-0412-12","Sidewalk Replace","M. A. Calgnino Concrete Flooring","305 Brattle Rd","013.-27-04.0","07/27/2012",2012,0,0,NA,NA,NA,NA
1133,"PC-0286-12","Sidewalk Replace","William Delaney","200-08 Wendell Terr & Rugby Rd","013.-27-07.0","05/31/2012",2012,0,0,NA,NA,NA,NA
1134,"PC-0557-12","Sidewalk Replace","M. A. Calgnino Concrete Flooring","210 Wendell Terr & Kline St","013.-27-08.0","10/09/2012",2012,0,0,NA,NA,NA,NA
1135,"PC-0373-12","Sidewalk Replace","Kathryn Nappi","218 Kline St & Durston Ave","013.-28-03.0","07/16/2012",2012,0,0,NA,NA,NA,NA
1136,"PC-0842-16","Sidewalk Replace","Hill Driveway Maintenance","1024-26 Oak St","014.-01-16.0","10/04/2016",2016,0,25,NA,NA,NA,NA
1137,"PC-0736-16","Sidewalk Replace","Hill Driveway Maintenance","1028 Oak St","014.-01-17.0","09/07/2016",2016,0,25,NA,NA,NA,NA
1138,"PC-0587-12","Sidewalk Replace","Peter Delvecchio","413 Dewitt St","014.-03-07.0","10/29/2012",2012,0,0,NA,NA,NA,NA
1139,"PC-0632-12","Sidewalk Replace","Charles Wisehoon","405 Dewitt St","014.-03-09.0","11/30/2012",2012,0,0,NA,NA,NA,NA
1140,"PC-0324-13","Sidewalk Replace","Lostumbo  Ashpalt & Concrete","401-03 Dewitt St & Farmer St","014.-03-10.0","06/27/2013",2013,0,0,NA,NA,NA,NA
1141,"PC-0158-12","Sidewalk Replace","Time Cap Development Corp","415 Sedgwick Dr & Rugby Rd","014.-05-03.0","04/19/2012",2012,0,0,NA,NA,NA,NA
1142,"PC-0330-12","Sidewalk Replace","M. A. Calgnino Concrete Flooring","211 Brattle Rd","014.-08-15.0","06/20/2012",2012,0,0,NA,NA,NA,NA
1143,"PC-0383-15","Sidewalk Replace","The Masonry Worker","403 Rugby Rd","014.-09-01.0","07/08/2015",2015,0,25,NA,NA,NA,NA
1144,"PC-0280-13","Sidewalk Replace","DPS Land Improvements LLC","102 Sedgwick Dr","014.-09-36.0","06/12/2013",2013,0,0,NA,NA,NA,NA
1145,"PC-0721-15","Sidewalk Replace","Di Peso Builders","205 Rugby Rd & Hampton Rd","014.-12-01.0","10/30/2015",2015,0,0,NA,NA,NA,NA
1146,"PC-0775-15","Road Cut","National Grid","116 Knaul St","015.-01-06.0","01/14/2016",2016,0,0,NA,NA,NA,NA
1147,"PC-0432-14","Road Cut","National Grid","811 Highland St To Carbon St","015.-10-09.0","09/22/2014",2014,0,0,NA,NA,NA,NA
1148,"PC-0685-15","Sidewalk Replace","All Star Masonry","900 Butternut St & Park St","015.-10-25.0","10/30/2015",2015,0,25,NA,NA,NA,NA
1149,"PC-0706-15","Sidewalk Replace","Ray Lorenzo","900 Butternut St & Park St","015.-10-25.0","10/27/2015",2015,0,25,NA,NA,NA,NA
1150,"PC-0171-14","Liability Waiver","Lynn Musenga","932-34 Butternut St & Carbon St","015.-10-31.0","05/15/2014",2014,0,0,NA,NA,NA,NA
1151,"PC-0223-13","Liability Waiver","Lynn Musenga","932-34 Butternut St & Carbon St","015.-10-31.0","05/29/2013",2013,0,0,NA,NA,NA,NA
1152,"PC-0223-15","Liability Waiver","Lynn Musenga","932-34 Butternut St & Carbon St","015.-10-31.0","05/15/2015",2015,0,50,NA,NA,NA,NA
1153,"PC-0256-16","Liability Waiver","Lynn Musenga","932-34 Butternut St & Carbon St","015.-10-31.0","05/15/2016",2016,0,50,NA,NA,NA,NA
1154,"PC-0086-14","Sidewalk Cafe","Longhorn Saloon","601 Park St & Highland St","015.-11-14.0","04/07/2014",2014,0,0,NA,NA,NA,NA
1155,"PC-0105-13","Sidewalk Cafe","Longhorn Saloon","601 Park St & Highland St","015.-11-14.0","04/01/2013",2013,0,0,NA,NA,NA,NA
1156,"PC-0270-12","Sidewalk Cafe","Longhorn Saloon","601 Park St & Highland St","015.-11-14.0","05/21/2012",2012,0,0,NA,NA,NA,NA
1157,"PC-0352-15","Liability Waiver","Shaffer Building Services, Inc","501 Park St & Highland St","015.-12-01.1","06/23/2015",2015,0,50,NA,NA,NA,NA
1158,"13290","Sign","Tommy Nguyen","788-90 Butternut St & Alvord St","016.-02-18.0","11/12/2013",2013,1000,80,NA,NA,NA,NA
1159,"PC-0548-13","Road Cut","National Grid","788-90 Butternut St & Alvord St","016.-02-18.0","12/04/2013",2013,0,0,NA,NA,NA,NA
1160,"PC-0660-15","Road Cut","National Grid","301 Alvord St S & Laurel St E","016.-02-22.0","11/02/2015",2015,0,0,NA,NA,NA,NA
1161,"PC-0514-15","Sidewalk Replace","William Raite","301 Seward St & Alvord St S","016.-03-22.0","09/03/2015",2015,0,25,NA,NA,NA,NA
1162,"PC-0713-15","Sidewalk Replace","Antimo & Maryann Vigliotti","206 Alvord St S","016.-03-24.0","10/29/2015",2015,0,25,NA,NA,NA,NA
1163,"PC-0512-15","Road Cut","National Grid","726 1/2 Laurel St E","016.-04-11.0","09/28/2015",2015,0,0,NA,NA,NA,NA
1164,"PC-0161-15","Road Cut","National Grid","730 Laurel St E","016.-04-13.0","05/11/2015",2015,0,0,NA,NA,NA,NA
1165,"PC-0035-14","Road Cut","National Grid","203 Seward St","016.-04-33.0","03/21/2014",2014,0,0,NA,NA,NA,NA
1166,"24756","Site Work","Francesco & Jennie Savinelli","119 Seward St","016.-04-37.0","09/07/2016",2016,2200,70,NA,NA,NA,NA
1167,"PC-0009-16","Liability Waiver","Ed Pavers Landscape","1202-04 Lodi St","016.-04-44.0","01/26/2016",2016,0,50,NA,NA,NA,NA
1168,"PC-0755-16","Sidewalk Replace","Maria & Emerito Aragones Beltran","608 Laurel St E","016.-05-01.0","10/17/2016",2016,0,25,NA,NA,NA,NA
1169,"PC-0310-13","Sidewalk Replace","Maksi's Masonry Corp","713-15 Hickory St","016.-05-22.0","06/24/2013",2013,0,0,NA,NA,NA,NA
1170,"PC-0524-13","Liability Waiver","Van Derhoof Roofing","410 Douglas St","016.-17-03.0","09/27/2013",2013,0,0,NA,NA,NA,NA
1171,"PC-0195-13","Sidewalk Replace","Jay A Searle","215 Highland Ave","016.-17-17.0","05/16/2013",2013,0,0,NA,NA,NA,NA
1172,"PC-0750-15","Sidewalk Replace","Steve Depalma Construction","903-07 James St & Highland St","016.-18-25.0","12/01/2015",2015,0,25,NA,NA,NA,NA
1173,"19863","Site Work","Syracuse Brick House Inc","200 Highland St","016.-18-27.0","08/06/2015",2015,22582,365,NA,NA,NA,NA
1174,"PC-0299-16","Sidewalk Replace","All American Masonry Company","200 Highland St","016.-18-27.0","05/19/2016",2016,0,25,NA,NA,NA,NA
1175,"PC-0185-16","Sidewalk Replace","All American Masonry Company","847 James St & Highland St To","016.-19-02.0","04/05/2016",2016,0,25,NA,NA,NA,NA
1176,"23948","Sign","Design Shop Sign &","817-31 James St To Willow St E","016.-19-03.0","08/02/2016",2016,500,80,NA,NA,NA,NA
1177,"PC-0403-12","Road Cut","BS Enterprises LLC","753 James St & Lodi St To Wil","016.-20-04.0","09/27/2012",2012,0,0,NA,NA,NA,NA
1178,"PC-0450-13","Sidewalk Replace","Savannah Civil Site Work","723 James St To Willow St E","016.-20-06.0","08/27/2013",2013,0,0,NA,NA,NA,NA
1179,"PC-0755-15","Loading Zone (Business)","GG Marketing Solutions LLC","319-25 Salina St N","017.-01-02.0","11/19/2015",2015,0,25,NA,NA,NA,NA
